Comment,Designator,Footprint,LCSC
ECA1HM4R7I,C6,CAPPRD200W55D525H1200,
1N5817,D5,D_DO-41_SOD81_P10.16mm_Horizontal,
120R,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D12,D_DO-41_SOD81_P10.16mm_Horizontal,
ECA-1HHG331,C1,CAPPRD500W65D1000H1700,
120R,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
FKP2J021001L00HSSD,C9,FKP2J021001L00HSSD,
3K3R,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D9,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4029BE,U13,DIP794W53P254L1930H508Q16N,
CD4029BE,U9,DIP794W53P254L1930H508Q16N,
NE555P,U8,DIP-8_W7.62mm,
SA23-12SRWA,DS1,SC2312SRWA,
SA23-12SRWA,DS2,SC2312SRWA,
SA23-12SRWA,DS4,SC2312SRWA,
SA23-12SRWA,DS5,SC2312SRWA,
SA23-12SRWA,DS3,SC2312SRWA,
120R,R50,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R47,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
270R,R37,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10VIN,J6,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
ULN2803A,U17,DIP-18_W7.62mm_LongPads,
5VOUT,J5,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
180R,R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R42,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
270R,R60,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D18,D_DO-41_SOD81_P10.16mm_Horizontal,
120R,R54,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
LED1,J7,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
DICE1,J11,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
120R,R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
ROLL_DICE,J10,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
ULN2803A,U19,DIP-18_W7.62mm_LongPads,
120R,R41,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R38,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
270R,R45,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R63,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R51,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R62,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R58,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
ULN2803A,U20,DIP-18_W7.62mm_LongPads,
120R,R65,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R56,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R55,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
180R,R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R59,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
4017,U15,DIP-16_W7.62mm,
R3K3,R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R46,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R49,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
DICE4,J14,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
ULN2803A,U18,DIP-18_W7.62mm_LongPads,
120R,R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R36,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
DICE2,J12,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
DICE5,J15,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
120R,R32,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
LED3,J9,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
180R,R29,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R43,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R48,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R64,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R57,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R44,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
LED2,J8,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
RESET,J16,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
ULN2803A,U16,DIP-18_W7.62mm_LongPads,
270R,R53,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R61,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
DICE3,J13,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
1N5817,D17,D_DO-41_SOD81_P10.16mm_Horizontal,
120R,R52,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
120R,R39,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
